id,traineeId,trainerId,name,type,date,duration
1,1,1,Chest workout,STRENGTH,2026-06-25T10:00:00,PT1H
2,2,2,Crossfit session,CARDIO,2026-06-26T14:30:00,PT45M
3,3,3,Morning yoga,YOGA,2026-06-27T08:00:00,PT1H30M
4,4,4,Weight loss training,CARDIO,2026-06-28T17:00:00,PT1H
5,5,5,Back and biceps,STRENGTH,2026-06-29T12:00:00,PT1H15M
6,6,6,Functional workout,CARDIO,2026-06-30T18:30:00,PT50M
7,7,7,Leg day,STRENGTH,2026-07-01T11:00:00,PT1H20M
8,8,8,Relax yoga,YOGA,2026-07-02T09:30:00,PT1H
9,9,9,Powerlifting basics,STRENGTH,2026-07-03T16:00:00,PT2H
10,10,10,Endurance training,CARDIO,2026-07-04T19:00:00,PT40M
